Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-05-19,28336,28275,28475,28233,11590,0.05,10.251888360022615,10.272587044678042,0.0004941932396107518
2014-05-20,28424,28291,28460,28253,15280,0.31,10.254989137700862,10.267586056221573,0.003100777678247013
2014-05-21,27501,28445,28540,27432,31580,-3.25,10.221977646629885,10.260429855507374,-0.03301149107097778
2014-05-22,27386,27504,27640,27252,24650,-0.42,10.21778721289218,10.255345232940606,-0.0041904337377047796
2014-05-23,27528,27400,27584,27281,13710,0.52,10.222958947477316,10.251734420817483,0.005171734585136534
2014-05-26,27586,27544,27620,27421,11500,0.21,10.225063676635465,10.248336696406215,0.0021047291581481886
2014-05-27,27087,27567,27598,27010,19860,-1.81,10.206809186975589,10.243397465842607,-0.018254489659875972
2014-05-28,26987,27032,27100,26853,15200,-0.37,10.203110547555557,10.237805692111582,-0.0036986394200315686
2014-05-29,26984,26945,27083,26661,18000,-0.01,10.202999376741486,10.232746374140156,-0.00011117081407086005
2014-05-30,27151,26915,27215,26862,12890,0.62,10.209169157096309,10.227512351854896,0.006169780354822407
2014-06-02,26626,27012,27130,26520,2920,-1.93,10.189643460991862,10.221482573125177,-0.019525696104446766
2014-06-03,26732,26756,26874,26592,450,0.4,10.193616628630961,10.216667778279174,0.003973167639099273
2014-06-04,26708,26582,26910,26582,130,-0.09,10.192718424977759,10.21173695035877,-0.0008982036532021453
2014-06-05,26771,26800,26860,26605,70,0.24,10.195074491065121,10.206744063139125,0.002356066087362052
2014-06-06,26400,26548,26600,26350,11550,-1.39,10.181119289134408,10.203339200014502,-0.013955201930713201
2014-06-09,26545,26400,26570,26278,8470,0.55,10.186596685017772,10.2007399893583,0.005477395883364267
2014-06-10,26712,26585,26738,26475,11670,0.63,10.19286818162349,10.198232425537148,0.006271496605718241
2014-06-11,26736,26720,26780,26527,13560,0.09,10.193766250835175,10.195624306720457,0.0008980692116846711
2014-06-12,27014,26740,27050,26640,14160,1.04,10.20411052912071,10.195399418565884,0.010344278285534969
2014-06-13,27235,27020,27289,26988,10270,0.82,10.212258189817774,10.196161722087735,0.008147660697064296
2014-06-16,27395,27255,27644,27255,12660,0.59,10.218115793972515,10.197421423523656,0.005857604154741125
2014-06-17,27418,27306,27488,27135,13700,0.08,10.218955010995845,10.198236911348616,0.0008392170233300078
2014-06-18,27353,27351,27538,27230,14470,-0.24,10.216581491048599,10.200481747186677,-0.0023735199472465496
2014-06-19,28160,27313,28199,27313,21910,2.95,10.245657810271979,10.20481851232343,0.029076319223380054
2014-06-20,28154,28150,28349,27977,18080,-0.02,10.24544471938791,10.209212370190942,-0.000213090884068734
2014-06-23,28111,28245,28267,28035,12310,-0.15,10.243916237796457,10.213282515751887,-0.0015284815914533567
